eval_eplenmean,eval_qs_difference,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,total timesteps,eval_qs,eval_abs_qs_difference,ep_rewmean,discount_q,env_time,update_time,episodes,current_lr,eplenmean,qs_difference,fps,qs_abs_difference,train_time,time_elapsed,act_time,mean 100 episode reward,n_updates,qs_mean,qfs_loss,q_grad_norm
1000.0,3.2012619856758944,24,141.9,140.481454,33.27651997319497,350001,13.955032,3.2080598,,,,,,,,,,,,,,,,,,
,,,,,,352000,,,138.58180638000002,2.549879230016464e-12,507,14751,352,0.0003,1000.0,3.1982622421648355,14,3.1982622421648355,7212,23785,286,138.6,654200,14.00555,0.0012014287,0.28997347
,,,,,,356000,,,138.73671164000004,2.7237406570337577e-12,513,14952,356,0.0003,1000.0,3.268402671989866,14,3.268402671989866,7301,24087,290,138.7,662200,13.988874,0.0010674383,0.3429948
,,,,,,360000,,,139.08348129,2.494390020722626e-12,518,15146,360,0.0003,1000.0,3.4875411923930257,14,3.4875411923930257,7388,24379,293,139.1,670200,14.504803,0.0015094556,0.38392067
1000.0,3.0520703470136197,23,142.5,144.50974581818184,33.35368583765632,360001,14.201031,3.0588083,,,,,,,,,,,,,,,,,,
,,,,,,364000,,,139.37547286,2.698125836304187e-12,524,15341,364,0.0003,1000.0,3.251607657000609,14,3.251607657000609,7476,24695,297,139.4,678200,14.230094,0.0011636341,0.36255574
,,,,,,368000,,,139.44291806,2.5659068419847743e-12,530,15535,368,0.0003,1000.0,3.1177082375817387,14,3.1177082375817387,7564,24989,300,139.4,686200,13.894286,0.0015041168,0.42031726
1000.0,2.9862163743956542,24,143.1,147.03801381818184,32.82813469862916,370001,14.440033,2.9931543,,,,,,,,,,,,,,,,,,
,,,,,,372000,,,139.67414359,2.694054915115814e-12,536,15729,372,0.0003,1000.0,3.1272776882640922,14,3.1272776882640922,7651,25306,303,139.7,694200,14.507248,0.0014263941,0.41026253
,,,,,,376000,,,139.93077263,2.517626092962701e-12,542,15920,376,0.0003,1000.0,3.3310639628553544,14,3.3310639628553544,7738,25594,307,139.9,702200,14.364086,0.0010900769,0.33465898
,,,,,,380000,,,140.17313894000003,2.5813378167134108e-12,547,16116,380,0.0003,1000.0,3.1959245245090555,14,3.1959245245090555,7826,25890,310,140.2,710200,14.525678,0.0013113127,0.39366624
1000.0,2.913774034413223,24,143.8,146.60386927272728,33.01265069032419,380001,14.305908,2.924086,,,,,,,,,,,,,,,,,,
,,,,,,384000,,,140.43761465,2.57122625005831e-12,553,16306,384,0.0003,1000.0,3.206418934213216,14,3.206418934213216,7912,26202,314,140.4,718200,14.4193535,0.0014940907,0.40229306
,,,,,,388000,,,140.62592596000002,2.6328711831916893e-12,559,16507,388,0.0003,1000.0,3.1739591605022452,14,3.1739591605022452,8001,26502,317,140.6,726200,14.43657,0.0012489478,0.37946132
1000.0,3.079545635617201,24,144.2,144.79940809090908,33.453378031555104,390001,14.247603,3.0843506,,,,,,,,,,,,,,,,,,
,,,,,,392000,,,140.88342541000003,2.5796809175551676e-12,565,16700,392,0.0003,1000.0,3.2845442148552677,14,3.2845442148552677,8088,26818,321,140.9,734200,14.529545,0.0011946023,0.34473056
,,,,,,396000,,,141.0932454,2.785994617534426e-12,570,16901,396,0.0003,1000.0,3.159382052504873,14,3.159382052504873,8177,27119,324,141.1,742200,14.22061,0.0020874771,0.39145935
,,,,,,400000,,,141.30407386000002,2.7696111747671836e-12,576,17097,400,0.0003,1000.0,3.465907265774089,14,3.465907265774089,8265,27415,328,141.3,750200,14.2938175,0.0011849889,0.31197044
1000.0,2.9536386734565454,24,144.6,147.19676409090908,33.5898616491416,400001,14.3479185,2.9649007,,,,,,,,,,,,,,,,,,
