eval_qs_difference,eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_discount_q,eval_qs,eval_abs_qs_difference,eval mean 100 episode reward,current_lr,update_time,discount_q,fps,time_elapsed,episodes,qs_abs_difference,ep_rewmean,env_time,eplenmean,mean 100 episode reward,train_time,act_time,qs_difference,n_updates,qs_mean,qfs_loss,q_grad_norm
,,,,308000,,,,,0.0003,12482,2.384647025216231e-12,15,20348,308,4.816203097917513,122.83274932999998,448,1000.0,122.8,6319,241,4.816203097917513,566200,14.145496,0.0015281278,0.3131251
4.581491098612765,1000.0,125.6729388181818,24,310001,30.96443703689938,14.083304,4.581491,127.3,,,,,,,,,,,,,,,,,,
,,,,312000,,,,,0.0003,12678,2.5368819141781753e-12,15,20667,312,5.129774468564827,123.42825226000001,453,1000.0,123.4,6409,245,5.129774468564827,574200,14.275104,0.0013150292,0.2916938
,,,,316000,,,,,0.0003,12875,2.627392489639885e-12,15,20964,316,5.125284831775903,124.22958327999999,459,1000.0,124.2,6498,248,5.125284831775903,582200,14.252084,0.0014586113,0.3037871
,,,,320000,,,,,0.0003,13066,2.562649508718388e-12,15,21254,320,5.160308720891276,124.89645928000002,465,1000.0,124.9,6586,251,5.160308720891276,590200,14.368955,0.0012251885,0.29818976
4.433970425712741,1000.0,129.95779454545456,24,320001,31.36463668793706,14.324652,4.4339695,127.9,,,,,,,,,,,,,,,,,,
,,,,324000,,,,,0.0003,13259,2.4851193342812167e-12,15,21574,324,4.490233942656038,125.3885834,470,1000.0,125.4,6678,255,4.490233942656038,598200,14.299383,0.0013148264,0.31895763
,,,,328000,,,,,0.0003,13459,2.352458689093154e-12,14,21873,328,4.529508077427209,125.82528646,476,1000.0,125.8,6767,258,4.529508077427209,606200,14.352178,0.0013329795,0.3462755
4.561477736857509,1000.0,129.32067981818182,23,330001,31.395334387736114,14.3854065,4.561477,128.4,,,,,,,,,,,,,,,,,,
,,,,332000,,,,,0.0003,13649,2.66888209105813e-12,14,22187,332,4.646477839562576,126.11608488999997,482,1000.0,126.1,6856,261,4.646477839562576,614200,14.470582,0.0013080917,0.3013133
,,,,336000,,,,,0.0003,13837,2.2818675420402486e-12,14,22476,336,4.690454106770359,126.24506726,488,1000.0,126.2,6947,265,4.690454106770359,622200,14.271781,0.001378046,0.3368597
,,,,340000,,,,,0.0003,14033,2.426068712785779e-12,14,22775,340,4.56467446295244,126.41769903999999,494,1000.0,126.4,7039,268,4.56467446295244,630200,14.255695,0.0013668122,0.30985528
4.4749055185865645,1000.0,129.08390181818183,22,340001,30.57119181575454,14.356748,4.4749055,129.0,,,,,,,,,,,,,,,,,,
,,,,344000,,,,,0.0003,14221,2.2596776350893495e-12,14,23082,344,4.581860171669312,126.66179448000001,499,1000.0,126.7,7124,271,4.581860171669312,638200,14.287853,0.0013260071,0.35420173
,,,,348000,,,,,0.0003,14415,2.6151199564210847e-12,14,23377,348,4.660397921354863,126.78775823,505,1000.0,126.8,7215,275,4.660397921354863,646200,14.382241,0.0012286236,0.3297485
4.299766184568302,1000.0,129.59676372727276,24,350001,31.339114362438046,14.15687,4.299766,129.1,,,,,,,,,,,,,,,,,,
,,,,352000,,,,,0.0003,14607,2.3931487213207925e-12,14,23694,352,4.6065237655901745,126.89469331999999,511,1000.0,126.9,7304,278,4.6065237655901745,654200,14.211409,0.0013696774,0.284259
