eval_ep_rewmean,eval_qs,eval_abs_qs_difference,eval_eplenmean,eval_discount_q,total timesteps,eval mean 100 episode reward,eval_time_elapsed,eval_qs_difference,n_updates,current_lr,env_time,act_time,update_time,fps,episodes,time_elapsed,ep_rewmean,qs_abs_difference,eplenmean,qs_mean,discount_q,train_time,qs_difference,mean 100 episode reward,qfs_loss,q_grad_norm
,,,,,376000,,,,702200,0.0003,539,303,15960,14,376,25615,143.00784933,4.9085281636913916,1000.0,16.89637,2.702968959282647e-12,7740,4.9085281636913916,143.0,0.0015785699,0.27889794
,,,,,380000,,,,710200,0.0003,544,306,16163,14,380,25920,143.03736583000003,4.786435846011889,1000.0,17.206928,2.713937097660774e-12,7833,4.786435846011889,143.0,0.0016985532,0.30087653
155.21011527272728,17.230335,4.965433,1000.0,32.8899964320041,380001,154.3,22,4.965432829473598,,,,,,,,,,,,,,,,,,
,,,,,384000,,,,718200,0.0003,550,310,16356,14,384,26233,142.93768457,4.977495993457764,1000.0,17.036213,2.6305558055002232e-12,7919,4.977495993457764,142.9,0.0014190737,0.29399776
,,,,,388000,,,,726200,0.0003,555,313,16551,14,388,26527,147.76400623,4.84176856233464,1000.0,16.992105,2.700987997678355e-12,8008,4.84176856233464,147.8,0.0012363973,0.30792812
154.23280836363637,16.951937,4.811959,1000.0,33.16468067956893,390001,155.7,23,4.811959106082852,,,,,,,,,,,,,,,,,,
,,,,,392000,,,,734200,0.0003,561,316,16751,14,392,26850,151.25667352,5.118049649340981,1000.0,17.218615,2.648060482862633e-12,8097,5.118049649340981,151.3,0.0013111313,0.284384
,,,,,396000,,,,742200,0.0003,567,320,16952,14,396,27152,153.48282427999996,5.053888875883071,1000.0,17.073513,2.591276564923562e-12,8186,5.053888875883071,153.5,0.00099075,0.27817
,,,,,400000,,,,750200,0.0003,572,323,17140,14,400,27446,153.3217837,4.921918422700863,1000.0,17.121143,2.6214771470404025e-12,8282,4.921918422700863,153.3,0.001006151,0.2587088
158.43076799999997,17.094511,4.557156,1000.0,33.39112267788688,400001,155.9,23,4.557155888915789,,,,,,,,,,,,,,,,,,
